採樣日期,監測點,分類,水溫(℃),pH值,導電度(μmho/cm),溶氧(mg/L),濁度(NTU)
2025-12-26,MW-01,地下水,18.5,8.12,412,0.78,145
2025-12-26,DW-02,地下水,19.2,8.05,410,0.72,138
2025-12-26,MW-03,地下水,17.8,6.95,520,0.65,210
2025-12-26,DW-04,地下水,18.1,7.02,518,0.68,215
2025-12-26,MW-05,地下水,17.3,7.45,380,0.82,95
2025-12-26,MW-06,地下水,17.9,7.38,395,0.75,110
2025-12-26,MW-07,地下水,19.5,7.52,405,0.70,120
2025-12-26,MW-08,地下水,17.1,7.15,425,0.80,155
2025-12-26,MW-09,地下水,16.8,9.56,825,0.55,380
2025-12-26,DW-10,地下水,17.2,9.48,820,0.58,375
2025-12-26,上池,地面水,16.5,7.54,125,8.92,1.2
2025-12-26,下池,地面水,16.2,7.39,128,8.75,1.5
2025-12-26,左溝,滲出水,15.8,6.15,145,3.45,0.08
2025-12-26,右溝,滲出水,16.1,6.18,142,3.52,0.12
2026-01-20,MW-01,地下水,20.2,7.95,425,0.62,155
2026-01-20,DW-02,地下水,20.8,7.88,422,0.58,148
2026-01-20,MW-03,地下水,19.5,6.78,535,0.52,225
2026-01-20,DW-04,地下水,19.8,6.85,532,0.55,230
2026-01-20,MW-05,地下水,19.1,7.32,392,0.68,105
2026-01-20,MW-06,地下水,19.6,7.25,408,0.62,125
2026-01-20,MW-07,地下水,21.2,7.38,418,0.58,135
2026-01-20,MW-08,地下水,18.8,7.02,438,0.65,170
2026-01-20,MW-09,地下水,18.5,9.42,835,0.48,395
2026-01-20,DW-10,地下水,18.9,9.35,830,0.52,388
2026-01-20,上池,地面水,18.2,7.42,132,8.65,1.8
2026-01-20,下池,地面水,17.9,7.28,135,8.48,2.1
2026-01-20,左溝,滲出水,17.5,6.08,148,3.28,0.10
2026-01-20,右溝,滲出水,17.8,6.12,145,3.35,0.14
2026-02-23,MW-01,地下水,22.8,7.73,447,0.55,421
2026-02-23,DW-02,地下水,23.5,7.66,444,0.52,410
2026-02-23,MW-03,地下水,22.1,6.58,552,0.42,245
2026-02-23,DW-04,地下水,22.4,6.65,549,0.45,250
2026-02-23,MW-05,地下水,21.8,7.18,405,0.58,120
2026-02-23,MW-06,地下水,22.3,7.12,422,0.52,140
2026-02-23,MW-07,地下水,23.8,7.25,432,0.48,155
2026-02-23,MW-08,地下水,21.5,6.88,452,0.55,185
2026-02-23,MW-09,地下水,21.2,9.28,845,0.38,410
2026-02-23,DW-10,地下水,21.6,9.20,840,0.42,402
2026-02-23,上池,地面水,20.8,7.28,138,8.35,2.5
2026-02-23,下池,地面水,20.5,7.15,141,8.18,2.8
2026-02-23,左溝,滲出水,19.9,6.35,152,2.85,0.15
2026-02-23,右溝,滲出水,20.2,6.42,149,2.92,0.18
2026-03-16,MW-01,地下水,24.5,7.62,458,0.48,435
2026-03-16,DW-02,地下水,25.2,7.55,455,0.45,425
2026-03-16,MW-03,地下水,23.8,6.48,562,0.35,260
2026-03-16,DW-04,地下水,24.1,6.55,559,0.38,265
2026-03-16,MW-05,地下水,23.5,7.08,415,0.50,135
2026-03-16,MW-06,地下水,24.0,7.02,432,0.45,155
2026-03-16,MW-07,地下水,25.5,7.15,442,0.42,170
2026-03-16,MW-08,地下水,23.2,6.78,462,0.48,200
2026-03-16,MW-09,地下水,22.9,9.18,855,0.32,425
2026-03-16,DW-10,地下水,23.3,9.10,850,0.36,417
2026-03-16,上池,地面水,22.5,7.18,145,8.05,3.2
2026-03-16,下池,地面水,22.2,7.05,148,7.88,3.5
2026-03-16,左溝,滲出水,21.6,6.25,158,2.45,0.20
2026-03-16,右溝,滲出水,21.9,6.32,155,2.52,0.23
2026-04-20,MW-01,地下水,26.2,7.52,468,0.42,450
2026-04-20,DW-02,地下水,26.9,7.45,465,0.40,440
2026-04-20,MW-03,地下水,25.5,6.38,572,0.30,275
2026-04-20,DW-04,地下水,25.8,6.45,569,0.33,280
2026-04-20,MW-05,地下水,25.2,6.98,425,0.45,150
2026-04-20,MW-06,地下水,25.7,6.92,442,0.40,170
2026-04-20,MW-07,地下水,27.2,7.05,452,0.38,185
2026-04-20,MW-08,地下水,24.9,6.68,472,0.43,215
2026-04-20,MW-09,地下水,24.6,9.08,865,0.28,440
2026-04-20,DW-10,地下水,25.0,9.00,860,0.32,432
2026-04-20,上池,地面水,24.2,7.08,152,7.75,4.0
2026-04-20,下池,地面水,23.9,6.95,155,7.58,4.3
2026-04-20,左溝,滲出水,23.3,6.15,165,2.15,0.25
2026-04-20,右溝,滲出水,23.6,6.22,162,2.22,0.28
